구분,지정번호,업체명,매장명,지정기간,주소
대형,제001호,이마트,성수점,2020-11-14 ~ 2023-11-13,서울특별시 성동구 뚝섬로 379
대형,제002호,이마트,연수점,2020-11-14 ~ 2023-11-13,인천광역시 연수구 동춘동 926-9
대형,제003호,이마트,고잔점,2020-11-14 ~ 2023-11-13,경기도 안산시 단원구 원포공원1로 46
대형,제004호,이마트,산본점,2020-11-14 ~ 2023-11-13,경기도 군포시 산본로 347
대형,제013호,갤러리아백화점,타임월드점,2020-11-14 ~ 2023-11-13,대전광역시 서구 둔산동 대덕대로 211
대형,제014호,갤러리아백화점,센터시티점,2020-11-14 ~ 2023-11-13,충청남도 천안시 서북구 공원로 227
대형,제016호,갤러리아백화점,명품관,2020-11-14 ~ 2023-11-13,서울특별시 강남구 압구정로 343
대형,제028호,이마트,가양점,2020-12-27 ~ 2023-12-26,서울특별시 강서구 양천로 559
대형,제029호,이마트,광명소하점,2020-12-27 ~ 2023-12-26,경기도 광명시 소하동 소하로 97
대형,제030호,이마트,서수원점,2020-12-27 ~ 2023-12-26,경기도 수원시 권선구 수인로 291
대형,제031호,이마트,성남점,2020-12-27 ~ 2023-12-26,경기도 성남시 수정구 수정로 201
대형,제032호,이마트,영등포점,2020-12-27 ~ 2023-12-26,서울특별시 영등포구 영중로 15
대형,제033호,이마트,은평점,2020-12-27 ~ 2023-12-26,서울특별시 은평구 응암1동 90-1
대형,제034호,이마트,제천점,2020-12-27 ~ 2023-12-26,충청북도 제천시 장평천로 11
대형,제035호,이마트,중동점,2020-12-27 ~ 2023-12-26,경기도 부천시 석천로 188
대형,제036호,이마트,청계천점,2020-12-27 ~ 2023-12-26,서울특별시 중구 청계천로 400
대형,제041호,이마트,성서점,2021-03-01 ~ 2024-02-28,대구광역시 달서구 이곡동 이곡동로 24
대형,제042호,이마트,화정점,2021-03-01 ~ 2024-02-28,경기도 고양시 덕양구 백양로 79
대형,제043호,롯데마트,마석점,2021-03-01 ~ 2024-02-28,경기도 남양주시 화도읍 경춘로 1992
대형,제047호,롯데마트,사상점,2021-05-30 ~ 2024-05-29,부산광역시 사상구 낙동대로 733
대형,제048호,이마트,보령점,2021-05-30 ~ 2024-05-29,충청남도 보령시 궁촌동 340-1
대형,제049호,이마트,울산점,2021-05-30 ~ 2024-05-29,울산광역시 남구 남중로 48
대형,제050호,롯데마트,동두천점,2021-05-30 ~ 2024-05-29,경기도 동두천시 송내동 529
대형,제051호,롯데마트,(전주)송천점,2021-05-30 ~ 2024-05-29,전라북도 전주시 덕진구 송천중앙로 82
대형,제052호,롯데마트,전주점,2021-05-30 ~ 2024-05-29,전라북도 전주시 완산구 우전로 240
대형,제054호,롯데마트,진장점,2021-05-30 ~ 2024-05-29,울산광역시 북구 진장유통로 64
대형,제055호,롯데마트,구미점,2021-05-30 ~ 2024-05-29,경상북도 구미시 구미대로22길 11
대형,제057호,롯데마트,동래점,2021-05-30 ~ 2024-05-29,부산광역시 동래구 중앙대로 1393
대형,제060호,롯데마트,웅상점,2021-05-30 ~ 2024-05-29,경상남도 양산시 삼호1길 34
대형,제061호,롯데마트,여수점,2021-11-09 ~ 2024-11-08,전라남도 여수시 선원동 1268-2
